time_step,revenue,cost,profit
1,467385.0,7908239.210357189,-7440854.210357189
2,943895.0,7748792.30053603,-6804897.300536029
3,1346550.0,6737747.270943649,-5391197.270943649
4,1753545.0,6933446.078515571,-5179901.078515571
5,2300505.0,9838002.314069774,-7537497.314069769
6,3359315.3541156007,19858359.04114024,-16499043.687024629
7,3456700.0,3042105.245273378,414594.7547266221
8,4129145.0,11930711.172562407,-7801566.172562407
9,4574313.223137676,9057394.763388371,-4483081.540250685
10,5410313.121599015,12839318.659686219,-7429005.538087209
11,6095793.597479811,13103242.94010615,-7007449.3426263435
12,6702400.710773781,9315077.030133821,-2612676.3193600443
13,7336396.7392990505,13659355.20401419,-6322958.46471513
14,7791277.395976039,5134400.974633812,2656876.4213422267
15,7784013.161610627,3478708.6243067626,4305304.537303868
16,7994593.112292804,4738367.334057423,3256225.778235387
17,8909187.748157885,19415900.112783138,-10506712.364625258
18,9309710.95737923,6758149.322359127,2551561.6350200996
19,9336908.715613857,5384938.930392817,3951969.7852210384
20,9360162.778091908,8163757.108319505,1196405.6697724026
21,10158442.281852573,16582880.33229077,-6424438.05043821
22,10780753.749394167,6936700.567222632,3844053.182171532
23,12118595.699686939,29210383.20080733,-17091787.501120374
24,13042335.877456516,11000540.514348239,2041795.3631082852
25,13777667.65544127,7028136.373627966,6749531.281813308
26,14197834.033393703,7666353.774580642,6531480.25881306
27,14205900.941054786,4918982.712721562,9286918.228333222
28,14629288.229207486,8090784.347988699,6538503.88121879
29,15602280.339373294,8284112.083809426,7318168.255563869
30,15885798.567622557,5034009.858433257,10851788.709189313
31,15516272.414570393,4679048.126790159,10837224.287780242
32,16076366.584090335,5632203.116202663,10444163.467887675
33,17076282.198318616,6974432.600038509,10101849.598280102
34,16923819.623376347,4973388.897989384,11950430.72538696
35,17179183.50435783,10302875.511031425,6876307.993326412
36,17734001.17528866,5880153.291590381,11853847.883698283
37,18416468.686432306,17176142.798863173,1240325.8875691236
38,18887753.76566394,14195583.627047297,4692170.1386166215
39,18290353.10669933,10717435.296242086,7572917.810457256
40,18612955.997634206,10232286.668589469,8380669.32904473
41,18469107.53898096,14232285.864139512,4236821.674841431
42,19622325.695669666,18263089.558692243,1359236.1369774074
43,18717180.2589607,8234907.936839432,10482272.322121285
44,19501234.30906836,10265426.085607,9235808.22346137
45,19553319.523031082,14853425.494802432,4699894.028228629
46,20961285.826274715,23236280.690692674,-2274994.8644179534
47,21496538.595786955,14330213.632246071,7166324.963540883
48,22555612.184668433,23040891.89381246,-485279.7091440119
49,22391448.78393523,26810317.65879936,-4418868.874864139
50,23298504.927003995,7941706.710056522,15356798.216947474
51,22485360.0,7961396.93203837,14523963.067961633
52,20346618.545594588,11204959.988634137,9141658.556960447
53,22995141.91892495,15097925.853463791,7897216.065461153
54,22169269.32645625,7808345.345244253,14360923.981211983
